Date,LIVEPOLC1,MEXBOL,CETES91
13/01/2016,202.779999,41008.78125,3.280719
14/01/2016,198.309998,41352.75,3.273189
15/01/2016,195.050003,40847.69922,3.270849
18/01/2016,194.089996,40604.78906,3.272631
19/01/2016,198.130005,40809.25,3.290274
20/01/2016,197.850006,40844.41016,3.310012
21/01/2016,198.369995,41166.87891,3.301706
22/01/2016,197.259995,41621.30859,3.309152
25/01/2016,197.259995,41476.35156,3.299705
26/01/2016,204.199997,41932.39063,3.311153
27/01/2016,209.320007,42109.89063,3.330747
28/01/2016,209.699997,42393.01953,3.328014
29/01/2016,216.360001,43630.76953,3.328712
02/02/2016,212.720001,43092.48828,3.339987
03/02/2016,209.070007,43257.53906,3.348258
04/02/2016,213.990005,43751.92969,3.331071
05/02/2016,212.190002,43229.67188,3.3486
08/02/2016,211.5,42774.85156,3.349993
09/02/2016,209.610001,42399.19141,3.341986
10/02/2016,210.860001,42535.73828,3.319046
11/02/2016,208.25,42359.26172,3.374242
12/02/2016,206.809998,42416.44141,3.360355
15/02/2016,210.720001,43205.91016,3.353609
16/02/2016,208.119995,43100.32031,3.361339
17/02/2016,207.229996,43585.23047,3.808004
18/02/2016,207.860001,43516.66016,3.818402
19/02/2016,207.020004,43375.30859,3.89076
22/02/2016,209.910004,43546.71875,3.897218
23/02/2016,210.619995,43216.57813,3.926284
24/02/2016,205.080002,42744.91016,3.970016
25/02/2016,200.850006,43434.55078,3.96081
26/02/2016,201.729996,43473.37109,4.004819
29/02/2016,200.320007,43714.92969,3.976119
01/03/2016,201.630005,44214.5,3.972777
02/03/2016,205.589996,44615.75,3.97774
03/03/2016,200.369995,44742.21875,3.982523
04/03/2016,196.619995,44849.01953,3.967078
07/03/2016,197.990005,44967.16016,3.957434
08/03/2016,194.240005,44504.28906,3.923981
09/03/2016,199.339996,44492.5,3.91712
10/03/2016,198.449997,44337.03906,3.927882
11/03/2016,196.809998,44617.73828,3.91001
14/03/2016,199.5,44691.80078,3.909993
15/03/2016,193.740005,44210.44141,3.888671
16/03/2016,197.850006,44751.39844,3.850005
17/03/2016,200.899994,45435.08984,3.850344
18/03/2016,201.949997,45482.39063,3.868046
22/03/2016,202.240005,45632.28125,3.857331
23/03/2016,200.25,45647.57031,3.860005
28/03/2016,198.990005,45623.48047,3.851729
29/03/2016,202.529999,45897.64844,3.839979
30/03/2016,200.5,46191.51172,3.829995
31/03/2016,204.259995,45881.07813,3.851111
01/04/2016,200.660004,46062.92188,3.849126
04/04/2016,199.979996,45678.17969,3.832298
05/04/2016,198.179993,45186.01172,3.82314
06/04/2016,197.210007,45281.96875,3.81085
07/04/2016,198.029999,45052.16016,3.828484
08/04/2016,197.970001,44859.48828,3.824297
11/04/2016,195.309998,44760.53125,3.810044
12/04/2016,191.789993,45090.67188,3.811375
13/04/2016,192.179993,45411.30078,3.823354
14/04/2016,192.940002,45403.53906,3.820217
15/04/2016,192.880005,45536.51953,3.822462
18/04/2016,188.169998,45022.62891,3.823615
19/04/2016,188.050003,45780.17969,3.772887
20/04/2016,189.399994,45650.35156,3.786877
21/04/2016,190.240005,45556.64844,3.775377
22/04/2016,190.139999,45613.21094,3.772691
25/04/2016,191.080002,45581.19922,3.759982
26/04/2016,187.380005,45416.89844,3.768412
27/04/2016,193.970001,45941.51953,3.791145
28/04/2016,193.949997,45528.92969,3.838769
29/04/2016,195.570007,45784.76953,3.821688
02/05/2016,193.220001,45707.87109,3.820412
03/05/2016,188.559998,45647.82031,3.819986
04/05/2016,184.839996,45349,3.812661
05/05/2016,186.970001,45147.96875,3.804893
06/05/2016,186.119995,45209.85156,3.8
09/05/2016,185.229996,45250.33984,3.804776
10/05/2016,189.020004,45676.41016,3.825826
11/05/2016,194.679993,45506.87109,3.823354
12/05/2016,193.369995,45685.82031,3.846714
13/05/2016,192.229996,45402.46875,3.847088
16/05/2016,194.830002,45843.14063,3.840517
17/05/2016,198.990005,45872.17969,3.839979
18/05/2016,202.190002,45551.19922,3.927603
19/05/2016,199.339996,45051.26953,3.956008
20/05/2016,198.399994,45155.91016,4.007226
23/05/2016,199.210007,45236.16016,4.101848
24/05/2016,198.460007,45497.46094,4.178535
25/05/2016,202.309998,45710.94141,4.165751
26/05/2016,202.75,46039.69141,4.059991
27/05/2016,203.75,46124.14844,4.097631
30/05/2016,202.139999,46017.21094,4.10151
31/05/2016,198.440002,45459.44922,4.064343
01/06/2016,200.479996,45557.60938,4.054738
02/06/2016,201.350006,45508.30859,4.040005
03/06/2016,202.470001,45928.23047,4.008328
06/06/2016,203.690002,45857.73047,4.009991
07/06/2016,205.289993,46124.62891,3.992273
08/06/2016,204.710007,46263.83984,3.983393
09/06/2016,203.419998,45662.71094,4.019981
10/06/2016,202.419998,45177.5,4.033507
13/06/2016,201.399994,44930.25,4.125188
14/06/2016,197.919998,44570.58984,4.170081
15/06/2016,196.220001,45011.21875,4.181429
16/06/2016,195.839996,45225.39844,4.152353
17/06/2016,197.809998,45306.21875,4.084159
20/06/2016,199.259995,45779.66016,4.081042
21/06/2016,197.679993,45705.42188,4.085811
22/06/2016,198.690002,45806.16016,4.076021
23/06/2016,199.759995,46145.92188,4.049937
24/06/2016,194.850006,44885.82031,4.132334
27/06/2016,190.070007,44282.03125,4.13975
28/06/2016,189.5,44714.53906,4.141176
29/06/2016,192.960007,45466.37109,4.128567
30/06/2016,193.020004,45966.48828,4.296333
01/07/2016,196.080002,46213.26953,4.360911
04/07/2016,197.509995,46201.32813,4.360083
05/07/2016,194.380005,45819.60156,4.402617
06/07/2016,186.199997,45304.75,4.390285
07/07/2016,181.259995,45394.37109,4.39103
08/07/2016,181.360001,45744.28906,4.387033
11/07/2016,182.490005,46177.60938,4.379987
12/07/2016,186.350006,46432.69922,4.371928
13/07/2016,186.130005,46271.96875,4.375023
14/07/2016,185.529999,46498.51172,4.37
15/07/2016,184.789993,46713.42969,4.376241
18/07/2016,185.320007,46961.25,4.374324
19/07/2016,187.369995,47060.57031,4.379579
20/07/2016,187.770004,47505.25,4.377574
21/07/2016,185.009995,47364.80859,4.381809
22/07/2016,187.399994,47537.28125,4.380002
25/07/2016,186.5,47130.41016,4.359999
26/07/2016,184.509995,46927,4.366458
27/07/2016,182.160004,46812.07031,4.415233
28/07/2016,182.279999,46833.87109,4.410241
29/07/2016,181.729996,46660.67188,4.41001
01/08/2016,179.710007,46807.23828,4.413713
02/08/2016,182.410004,46558.35938,4.389837
03/08/2016,183.110001,46844.53125,4.402651
04/08/2016,182.820007,46941.46094,4.45846
05/08/2016,186.559998,47194.14844,4.369986
08/08/2016,188.970001,47368.64844,4.363083
09/08/2016,189.149994,47630.37109,4.334876
10/08/2016,189.679993,47797.69922,4.400013
11/08/2016,196.089996,48341.94922,4.327301
12/08/2016,197.419998,48363.89063,4.349793
15/08/2016,199.089996,48694.89844,4.319184
16/08/2016,198.720001,48351.96094,4.316716
17/08/2016,199.240005,48258.92969,4.322502
18/08/2016,200.940002,48437.10156,4.356292
19/08/2016,201.610001,48297.46094,4.369986
22/08/2016,201.970001,48293.46094,4.390003
23/08/2016,201.669998,47666.01953,4.351543
24/08/2016,201.539993,47743.60938,4.340008
25/08/2016,204.889999,47734.19922,4.372467
26/08/2016,202.850006,47369.57031,4.360584
29/08/2016,204.839996,47599.12109,4.386664
30/08/2016,204,47650.57031,4.40001
31/08/2016,204.779999,47541.32031,4.375239
01/09/2016,202.889999,47563.33984,4.379989
02/09/2016,204.25,47787.98828,4.364631
05/09/2016,204.380005,47842.23047,4.349984
06/09/2016,203.990005,47626.98047,4.351286
07/09/2016,203.529999,47398.69922,4.331104
08/09/2016,203.330002,47416.96875,4.309836
09/09/2016,202.440002,46459.17188,4.303732
12/09/2016,204.330002,46720.96094,4.34521
13/09/2016,202.220001,46154.19922,4.330005
14/09/2016,203.949997,45767.57031,4.374677
15/09/2016,200.830002,45922.91016,4.343514
19/09/2016,199.929993,45871.03906,4.441442
20/09/2016,201.080002,46341.32813,4.481027
21/09/2016,201.949997,46929.19141,4.485987
22/09/2016,203.929993,47975.05078,4.552181
23/09/2016,203.580002,47778.48047,4.634317
26/09/2016,200.190002,47252.53906,4.662812
27/09/2016,209.179993,47731.83984,4.659546
28/09/2016,204.589996,48046.55859,4.706267
29/09/2016,203.860001,47672.07031,4.806776
30/09/2016,203.240005,47245.80078,4.828593
03/10/2016,201.910004,47601.92969,4.833886
04/10/2016,205.419998,47909.26953,4.805322
05/10/2016,206.369995,48141.42188,4.82793
06/10/2016,205.229996,47944.76953,4.846011
07/10/2016,200.440002,47596.60156,4.868954
10/10/2016,204.830002,48264.96094,4.840705
11/10/2016,204.470001,48014.39844,4.842671
12/10/2016,205.809998,47915.12109,4.821345
13/10/2016,204.320007,47741.53906,4.859996
14/10/2016,204.589996,47701.44922,4.858504
17/10/2016,203.440002,47657.32813,4.810001
18/10/2016,205.350006,48106.12109,4.816929
19/10/2016,209.710007,48492.60938,4.82832
20/10/2016,206,48274.25,4.820313
21/10/2016,208.449997,48418.39844,4.826217
24/10/2016,207.630005,48431.25,4.84998
25/10/2016,202.440002,48093.53125,4.870001
26/10/2016,200.020004,47805.44141,4.880012
27/10/2016,199.240005,48114.67188,4.889996
28/10/2016,198.679993,48007.19922,4.88047
31/10/2016,198.119995,48009.28125,4.880266
01/11/2016,192.880005,47303.30859,4.924286
03/11/2016,189.539993,46683.80078,5.031628
04/11/2016,189.339996,46694.80859,5.000296
07/11/2016,196.820007,48050.25,4.972973
08/11/2016,197.529999,48470.98828,4.993374
09/11/2016,186.089996,47390.66016,5.391884
10/11/2016,168.330002,45224.37891,5.45566
11/11/2016,158.570007,44978.25,5.562122
14/11/2016,159.429993,45306.48047,5.550686
15/11/2016,158.070007,45023.64844,5.827797
16/11/2016,156.860001,44901.57031,5.888174
17/11/2016,157.479996,44919.69141,5.638303
18/11/2016,156.509995,44364.17188,5.709468
22/11/2016,155.360001,44838.76172,5.884351
23/11/2016,157.070007,45184.07813,5.924271
24/11/2016,158.720001,45265.89844,5.899864
25/11/2016,158.779999,45357.85156,5.900494
28/11/2016,160.979996,45470.60938,5.931591
29/11/2016,160.850006,45372.19141,5.881338
30/11/2016,162.309998,45315.96094,5.833192
01/12/2016,158.029999,44884.85938,5.893344
02/12/2016,153.679993,44555.26172,5.870017
05/12/2016,151.660004,44937.30078,5.839992
06/12/2016,154.509995,45103.21875,5.838082
07/12/2016,157.550003,45609.89844,5.808861
08/12/2016,155.619995,46360.23047,5.782419
09/12/2016,154.210007,46913.46875,5.714077
13/12/2016,155,46870.23828,5.687509
14/12/2016,153.279999,46220.53906,5.683335
15/12/2016,153.279999,45871.96094,5.762627
16/12/2016,151.759995,45121.39063,5.794214
19/12/2016,151.960007,44895.28906,5.789995
20/12/2016,151.25,44930.26953,5.779992
21/12/2016,149.910004,44983.03125,5.818784
22/12/2016,149.809998,45008.07813,5.835246
23/12/2016,150,45173.53906,5.838803
26/12/2016,149.820007,44989.57813,5.833566
27/12/2016,149.580002,45299.67188,5.948542
28/12/2016,149.369995,45563.17969,5.946132
29/12/2016,150.830002,45909.30859,5.980645
30/12/2016,149.550003,45642.89844,5.954047
02/01/2017,149.550003,45695.10156,6.002021
03/01/2017,146.089996,46123.35938,6.000133
04/01/2017,142.820007,46587.73828,6.035211
05/01/2017,145.039993,46719.98828,6.080016
06/01/2017,144.360001,46071.57031,6.123159
09/01/2017,140.029999,45553.51172,6.166434
10/01/2017,141.229996,45886.26953,6.250684
11/01/2017,138.570007,45933.64844,6.257482
12/01/2017,137.309998,46060.98047,6.247023
13/01/2017,137.139999,46182.42969,6.219982
16/01/2017,136.759995,45740.37891,6.219985
17/01/2017,138.039993,46002.55859,6.228525
18/01/2017,135.149994,46360.62891,6.246949
19/01/2017,134.839996,46265.26172,6.310016
20/01/2017,130.910004,46331.60156,6.2998
23/01/2017,132.539993,47116.23828,6.285084
24/01/2017,136.740005,48149.60938,6.291954
25/01/2017,137.639999,48275.82813,6.292289
26/01/2017,137.119995,47611.44141,6.339989
27/01/2017,137.899994,47421.12109,6.347019
30/01/2017,136.089996,47091.82031,6.35047
31/01/2017,131.580002,47001.05859,6.345569
01/02/2017,136,47009.51172,6.279988
02/02/2017,136.619995,47095.07031,6.277271
03/02/2017,139.970001,47225.10156,6.26002
07/02/2017,138.960007,46728.94922,6.259998
08/02/2017,138.160004,46921.71094,6.249239
09/02/2017,137.369995,47232.17188,6.398111
10/02/2017,138.160004,47797.03906,6.391729
13/02/2017,138.410004,47661.69141,6.388227
14/02/2017,137.75,47391.23828,6.390007
15/02/2017,136.190002,47161.73828,6.398226
16/02/2017,136.139999,47293.85156,6.397907
17/02/2017,136.789993,47164.71094,6.444007
20/02/2017,136.529999,47083.80859,6.400003
21/02/2017,139.679993,47614.98828,6.355621
22/02/2017,139.729996,47195.67969,6.302758
23/02/2017,138.979996,47206.35938,6.28315
24/02/2017,138.399994,47047.67188,6.292166
27/02/2017,140.699997,47349.19922,6.303849
28/02/2017,140.309998,46856.78906,6.413222
01/03/2017,140.160004,47467.94922,6.366675
02/03/2017,138.600006,47288.66016,6.456944
03/03/2017,139.990005,47414.57031,6.448013
06/03/2017,142.619995,47883.58984,6.477163
07/03/2017,141.089996,47419.16016,6.468897
08/03/2017,140.860001,47539.21875,6.488323
09/03/2017,139.259995,47263.92188,6.518819
10/03/2017,140.610001,47102.30859,6.555876
13/03/2017,138.610001,47101.14063,6.56097
14/03/2017,139.039993,47087.96875,6.605944
15/03/2017,141.089996,47470.30859,6.528276
16/03/2017,144.800003,48056.55859,6.558758
17/03/2017,146.550003,48593.44141,6.518235
21/03/2017,149.949997,48589.05078,6.575841
22/03/2017,150.710007,48487.30078,6.586101
23/03/2017,153.589996,48676.91016,6.552749
24/03/2017,155.880005,49083.85156,6.559347
27/03/2017,150.330002,49312.98828,6.600004
28/03/2017,150.789993,49339.23828,6.612855
29/03/2017,147.740005,49036.51953,6.627557
30/03/2017,147.389999,48863.30078,6.597274
31/03/2017,146.139999,48541.55859,6.589474
03/04/2017,147.389999,48819.07031,6.592743
04/04/2017,150.789993,49342.76953,6.603353
05/04/2017,150.360001,49207.60938,6.599555
06/04/2017,147.050003,49012.42188,6.589995
07/04/2017,149.660004,49343.64063,6.608114
10/04/2017,149.600006,49540.26172,6.643658
11/04/2017,149.580002,49637.92969,6.639982
12/04/2017,145.440002,48955.82031,6.651069
17/04/2017,146.550003,49011.55859,6.650706
18/04/2017,147.300003,48762.53125,6.657954
19/04/2017,149.589996,48873.83984,6.639397
20/04/2017,150.410004,49144.96094,6.617475
21/04/2017,150.309998,48967.82813,6.621465
24/04/2017,153.050003,49413.26172,6.64998
25/04/2017,154.75,49808.05078,6.670526
